


FileID=83502;PersistantID=10.5683/SP2/K7EJQR;File Name=cipo-E-1996-01_F1.tab;DateTime=2020-03-24T17:08:29.133-07:00[Canada/Pacific]
FileID=83611;PersistantID=10.5683/SP2/2CUAKH;File Name=cipo-E-1998-12_F1.tab;DateTime=2020-03-24T17:08:29.245-07:00[Canada/Pacific]
FileID=73005;PersistantID=10.5683/SP2/CN9K4B;File Name=Wave 50.tab;DateTime=2020-03-24T17:08:30.313-07:00[Canada/Pacific]




FileID=75970;PersistantID=10.5683/SP2/0WH5FH;File Name=AB_thronespeeches.tab;DateTime=2020-03-24T17:08:31.551-07:00[Canada/Pacific]


FileID=73075;PersistantID=10.5683/SP2/QN24V0;File Name=Food insecurity study.tab;DateTime=2020-03-24T17:08:31.903-07:00[Canada/Pacific]

FileID=82624;PersistantID=10.5683/SP2/JHOIQZ;File Name=cipo-374-E-1975-03_F1.tab;DateTime=2020-03-24T17:08:32.053-07:00[Canada/Pacific]
FileID=42015;PersistantID=10.5683/SP/X0V8CX;File Name=ari-sexual-harassment-2014-public-1.tab;DateTime=2020-03-24T17:08:32.166-07:00[Canada/Pacific],FileID=42014;PersistantID=10.5683/SP/X0V8CX;File Name=ari-sexual-harassment-2014-public.tab;DateTime=2020-03-24T17:08:32.341-07:00[Canada/Pacific]
FileID=72762;PersistantID=10.5683/SP2/7L3ZZU;File Name=Global Wave 39.tab;DateTime=2020-03-24T17:08:33.280-07:00[Canada/Pacific]
FileID=77378;PersistantID=10.5683/SP2/RFWOJD;File Name=Stanley_et_al_EnvironmentalCorrelates.tab;DateTime=2020-03-24T17:08:35.622-07:00[Canada/Pacific]

FileID=81932;PersistantID=10.5683/SP2/AJM2LX;File Name=cipo-142-E-1945-05_F1.tab;DateTime=2020-03-24T17:08:35.717-07:00[Canada/Pacific]
FileID=82241;PersistantID=10.5683/SP2/3N8OTS;File Name=cipo-230-E-1953c-07_F1.tab;DateTime=2020-03-24T17:08:35.850-07:00[Canada/Pacific]
FileID=82713;PersistantID=10.5683/SP2/D5SKII;File Name=cipo-404-E-1977-09_F1.tab;DateTime=2020-03-24T17:08:35.991-07:00[Canada/Pacific]



FileID=47202;PersistantID=10.5683/SP/JIKWMV;File Name=can-vote-intent-wv556.tab;DateTime=2020-03-24T17:08:36.421-07:00[Canada/Pacific]
FileID=82380;PersistantID=10.5683/SP2/PZN5PS;File Name=cipo-286-E-1961-01_F1.tab;DateTime=2020-03-24T17:08:36.601-07:00[Canada/Pacific]


FileID=83568;PersistantID=10.5683/SP2/IELCY3;File Name=cipo-E-1997-10_F1.tab;DateTime=2020-03-24T17:08:37.183-07:00[Canada/Pacific]



FileID=87102;PersistantID=10.5683/SP2/9H3RCE;File Name=PN-5560_F1.tab;DateTime=2020-03-24T17:08:37.624-07:00[Canada/Pacific]

FileID=99958;PersistantID=10.5683/SP2/X2301W;File Name=MC_Orthomosaic_PreRestoration.prj;DateTime=2020-03-24T17:08:38.326-07:00[Canada/Pacific],FileID=99956;PersistantID=10.5683/SP2/X2301W;File Name=MC_Orthomosaic_PreRestoration.tfw;DateTime=2020-03-24T17:08:38.418-07:00[Canada/Pacific],FileID=99959;PersistantID=10.5683/SP2/X2301W;File Name=MC_Orthomosaic_PreRestoration.tif;DateTime=2020-03-24T17:08:38.513-07:00[Canada/Pacific]


FileID=76179;PersistantID=10.5683/SP2/7QSVAI;File Name=Toray120A.tif;DateTime=2020-03-24T17:09:21.774-07:00[Canada/Pacific]

FileID=101063;PersistantID=10.5683/SP2/ASQ5GC;File Name=Richards-Thomas-ds01-2020.tab;DateTime=2020-03-24T17:09:36.728-07:00[Canada/Pacific],FileID=101064;PersistantID=10.5683/SP2/ASQ5GC;File Name=Richards-Thomas-ds02-2020.tab;DateTime=2020-03-24T17:09:36.808-07:00[Canada/Pacific],FileID=101065;PersistantID=10.5683/SP2/ASQ5GC;File Name=Richards-Thomas-ds03-2020.tab;DateTime=2020-03-24T17:09:36.904-07:00[Canada/Pacific],FileID=101066;PersistantID=10.5683/SP2/ASQ5GC;File Name=Richards-Thomas-ds04-2020.tab;DateTime=2020-03-24T17:09:36.983-07:00[Canada/Pacific],FileID=101067;PersistantID=10.5683/SP2/ASQ5GC;File Name=Richards-Thomas-ds05-2020.tab;DateTime=2020-03-24T17:09:37.086-07:00[Canada/Pacific]


FileID=82891;PersistantID=10.5683/SP2/IQIQZF;File Name=cipo-451-1-E-1981-07_F1.tab;DateTime=2020-03-24T17:09:37.512-07:00[Canada/Pacific]
FileID=83406;PersistantID=10.5683/SP2/TNGEQK;File Name=cipo-656t-E-1993-06_F1.tab;DateTime=2020-03-24T17:09:37.645-07:00[Canada/Pacific]



